code,county,area,date,time,places,file
,NYERI,"MWANDA MARKET, KIARUHIU MARKET",Wednesday 17.09.2025,8.00 A.M. – 5.00 P.M.,"['MOW Karatina', 'Brookfield Academy', 'Karatina Jambo', 'Yacob Deen', 'Mwanda', 'Ndaro -ini', 'Kiunyu', 'Gatundu', 'Thenge -ini', 'Ihara', 'Kamunyaka C/Fact', 'Miiri C/Fact', 'Kiangai Mkt', 'Thunguri', 'C/Fact', 'Karerahungu', 'Kianwe Mkt', 'Kiahiti', 'Kiriko', 'Gikororo', 'Kahuru', 'Kianjuu TBC', 'Ndim a', 'T/Fact', 'Mathia Mkt', 'Kiriko Village', 'Kiaruhiu Mkt', 'Chehe TBC', 'Gathaithi TBC', 'Karandi', 'Gitangaruri', 'Kianyaga TBC', 'Kiangumara TBC', 'Ndima Kanini', 'Kahuro TBC', 'Safaricom', 'Boosters', 'Airtel Boosters & adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under Rule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power lines', 'during road construction', 'etc.)']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,NYERI,"KIAWARA, RUIRIE, NAIRUTIA",Wednesday 17.09.2025,8.00 A.M. – 5.00 P.M.,"['Kiawara', 'Lamuria', 'Bellevue', 'Kabendera', 'Ruirie', 'Kariminu', 'Tanyai', 'Nairutia', 'Mugunda', 'Ngobit', 'Kariguini', 'Mahiga Meru', 'Matopeni & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,NYERI,KAGONGO.,Thursday 18.09.2025,9.00 A.M. – 5.00 P.M.,"['Kagongo', 'Part of Kahuria', 'Mathari ATC Booster & adjacent customers']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,NYERI,MATHARI NYEWASCO WATER TANK,Friday 19.09.2025,9.00 A.M. – 4.00 P.M.,"['Mathari Nyewasco Water Tank', 'St. Teresa Sch & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,NYERI,"WANDUMBI, KAMAHURU",Friday 19.09.2025,8.00 A.M – 5.00 P.M.,"['Wandumbi Sec Sch', 'Wandumbi Mkt', 'DW Nderitu', 'Kamahuru TBC  & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,NYERI,"NYERI TOWN, KANGEMI",Sunday 21.09.2025,8.00 A.M. – 5.00 P.M.,"['Kangemi', 'Asian Quarters', 'Nyamachaki', 'St. Marys', 'Diana Centre', 'Kungumaitu', 'Naivas', 'Kasturi', 'Maathai', 'Chieni', 'Governor’s Office', 'AP Police', 'Archdiocese of Nyeri', 'Nyewasco', 'Offices', 'Shell Petrol Stn', 'Total Muhoya', 'MOW Offices', 'Kiawara', 'Majengo', 'Eland Hotel', 'Be st', 'Lady', 'KWFT', 'Central Hotel & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,MERU,NKUBU MARKET,Tuesday 16.09.2025,8.30 A.M. - 5.00 P.M.,"['Nkubu Mkt', 'Mikumbune Mkt', 'Kamacege Mkt', 'Mikumbune H/Center', 'Mikumbune Library', 'Consolata Hosp', 'Jekim Hosp', 'Nkubu High', 'Nkubu Day Sec Sch', 'Equity Afya Hospital', 'Prime', 'Regent Hotel', 'Riverbank Hotel', 'Nyagene Sec Sch', 'Batian Nuts', 'Kieru C /Fact & adjacent', 'customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,MERU,"NTUGI, KISIMA, MARANIA",Thursday 18.09.2025,8.30 A.M. – 5.00 P.M.,"['Ntugi Mkt', 'Kibirichia Mkt', 'Ntirimiti Base Stn', 'Muruguma Mkt', 'Murinya Mkt Kanguambi', 'Ruibi', 'Naari', 'Kimbo Mkt', 'Marania', 'VOK', 'Kironya', 'Kathatene', 'Kaburiko', 'Kongoni Farm', 'AA Growers', 'Embori Farm', 'Kisima Farm', 'Uhuru Flowers', 'PJ Dave', 'Kikwetu Flowers', 'Kisima Sec', 'Timaflow', 'School of Adventure', 'Bloomingdale', 'Edenbrooks & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,EMBU,"UGWERI, KIGAA",Tuesday 16.09.2025,8.00 A.M. – 5.00 P.M.,"['Ugweri Mkt', 'Kigaa Mkt', 'Nthagaiya Sec', 'Njiru Kianda', 'Ngeniari Pri', 'Macumo Sec', 'Ithatha', 'Kiringa', 'Kathambaiconi Pri', 'Ugweri Sec', 'Gatinda Pri', 'Gatambararia', 'Kathugu Pri', 'Maruari', 'Kiangucu C/Fact', 'Kathaiya & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,EMBU,"MAKIMA, MWANYANI, KANYONGA",Thursday 18.09.2025,9.00 A.M. - 5.00 P.M.,"['Ngecha', 'Makima', 'Mbondoni', 'Kitololoni', 'Mwanjo', 'Mwanyani', 'Ndunguni', 'Kathuyani', 'KWS', 'Mwea', 'Mburutani & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KIRINYAGA,"MBURI, GITHIURURI COFFEE FACTORY",Wednesday 17.09.2025,9.00 A.M – 5.00 P.M.,"['Mburi Mkt', 'Rianjue Village', 'Kimweas Mkt', 'Difathas Mkt', 'Philadelphia Village', 'Gathiriku', 'Village & adjacent customers.', 'WEST ERN REGION']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KISUMU,KISUMU TOWN,Sunday 14.09.2025,8.00 A.M. – 5.00 P.M.,"['Okore Est', 'Obunga', 'Migosi', 'Lolwe', 'Uzima University', 'Kanyamedha & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KISUMU,KIBOS,Wednesday 17.09.2025,9.00 A.M. – 5.00 P.M.,"['Kibos Prisons', 'Civil Industry', 'White Call', 'Tamua Industries', 'Shuga Research Gita Mkt', 'Nyabondo', 'Doreen', 'Chiga', 'Wildo', 'Kalusi. Kasese', 'Obumba', 'Masawa', 'Achuodho & adjacent', 'customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KISUMU,"AWASI, AHERO",Friday 19.09.2025,9.00 A.M. – 5.00 P.M.,"['Ogilo Mkt', 'Obagu', 'Masogo Mkt', 'Ombeyi Mkt', 'Onyalo Biro', 'Miwani Mkt & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KISUMU,MIWANI,Sunday 14.09.2025,9.00 A.M. – 5.00 P.M.,"['Keda', 'Miwani Mkt', 'Karebe', 'Chemase', 'Kigori Mkt Maboyi', 'Chebsweta & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,VIHIGA,"WALUBA, MAHANGA, EBWALI",Sunday 14.09.2025,9.00 A.M. – 5.00 P.M.,"['Waluka', 'Stage Matope', 'Ebwali', 'Esongolo', 'Mwitokho', 'Fisheries', 'Mahanga', 'Itabalia', 'Kisienya', '& adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KIAMBU,"ALBIZZIA, WITEITHIE, TOLA",Sunday 14.09.2025,9.00 A.M. - 5.00 P.M.,"['Kilimambogo Millers', 'Behind TIBS', 'White Sisters', 'Ukombozi Center', 'Kibute Parts of', 'Ngoingwa Classic', 'Family Gardens', 'PCEA', 'Kisiwa', 'Mpesa Foundation', 'Karibaribi', 'Kawira', 'Makwa Boys', 'Makwa Dispensary', 'Makwa Mkt', 'Magumu', 'Gakui   S/Center', 'Gachororo Hosp', 'St. Paul Catholic Church', 'Gachororo Sec', 'Mungetho Mkt', 'High Point', 'Gachororo Mkt', 'Ndarugu Hotel', 'Gwa Kigwe', 'Centurion Hotel', 'Premier Foods', 'East African Health & adjacent', 'customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KIAMBU,"KIHUMO, MAGANA FACTORIES",Monday 15.09.2025,9.00 A.M. - 5.00 P.M.,"['Regen S/Centre', 'Ngwaci Rd', 'Whole of Kihumo', 'Regen Police Post', 'Magana Farm', 'Magana', 'Factories & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KIAMBU,KIUKENDA,Wednesday 17.09.2025,9.00 A.M. - 5.00 P.M.,"['Weavery Est', 'Kiu Kenda', 'Part of Kiamumbi & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KITUI,"MWITIKA, KIKUU",Tuesday 16.09.2025,9.00 A.M. - 5.00 P.M.,"['Kyululu Mkt', 'Mwitika Mkt', 'Gaka Yakwa Mkt', 'Kikuu Mkt', 'Kyamatu Mkt', 'Muthungwe', 'Maskalini', 'Mukunduni Mkt & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KITUI,"KANDUTI, KINAKONE",Wednesday 17.09.2025,9.00 A.M. - 5.00 P.M.,"['Kyamusivi Mkt', 'Kanduti', 'Union City', 'Kivuuni Mkt', 'Kalulu Mkt', 'Kiusian Mkt', 'Musikio', 'Yongela', 'Mkt', 'Kyango Mkt', 'Kinakone Mkt', 'Kiangwa Mkt', 'Kalwasi Mkt', 'Voo Mkt & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KITUI,KITUI CBD,Thursday 18.09.2025,9.00 A.M. - 5.00 P.M.,"['Kitui CBD', 'Majengo', 'Silyumani', 'Ithyokwe', 'Mathunzini', 'Kiteta', 'Ikolonya', 'Wii Mkt', 'Kyandui Mkt', '& adjacent customers.', 'COAST REGION']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,MOMBASA,"LIKONI, SHIKAADABU",Tuesday  16.09.2025,9.00 A.M. – 5.00 P.M.,"['Shikadabu', 'Kibaki Est', 'Ujamaa', 'Mascape Shonda', 'Kwa Musembi', 'Pungu Slaughter', 'Diani', 'Beach Hospital 2', 'Fire', 'Samaki Poa', 'Vijiweni Kwa DC', 'Alamano', 'Mwangala', 'Bububu', 'Kibundani', 'Thirdword', 'Corner Mypa', 'Corner Mbaya', 'Soweto', 'Conslata', 'Muskiti Punda &', 'adjacent c ustomers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,MOMBASA,"PART OF NYALI, LINKS ROAD",Wednesday  17.09.2025,9.00 A.M. – 5.00 P.M.,"['Links Rd', 'Mamba', 'Golf Club', 'Premier Hosp', 'Total Links', 'Epic Center', 'Twiga Rd', 'Kasuku Rd', 'Petrocity', 'Hash', 'Telephone Exchange', 'KPLC Nyali Office', 'Beach Rd Est', 'Sanana', 'Mugoya', 'Est', 'Quick Matt', 'Mogadishu', 'Care Four', 'Links Plaza', 'Wild Waters', 'Rubis Nyali & adj acent', 'customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,MOMBASA,MIRITINI NEAR WELDCONE,Thursday  18.09.2025,9.00 A.M. – 5.00 P.M.,"['Weldcone', 'Southern Shipping', 'Totoal Jomvu', 'Icolo MBA 1', 'Transtainers', 'Shireji', 'Bayusuf', 'Simba EPZ Jomvu', 'Devki', 'Black Devel & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KILIFI,PARTS OF KANAMAI,Sunday  14.09.2025,9.00 A.M. – 5.00 P.M.,"['Baharini Pri', 'Baran Kenya Kikamabala', 'Kadzengo', 'Kitchen King', 'My Pasta', 'Pwani Oil Ltd', 'Mega Couture', 'Afriware EPZ', 'Ndune Fish Farm', 'Revital EPZ', 'Tiger Packaging', 'Vipingo', 'Industries', 'Vipingo Service Stn', 'Majlis Msumarini', 'Safepak Ltd', 'Pride Industries', 'Tota l', 'Amkeni', 'Madina Madrassa Center', 'Jallaram Plastics', 'Eagol Petrol Stn', 'Awali Est', 'Palmridge', 'Vipingo Golf Stage', 'Swafaa Academy. Shariani Center', 'Shariani kwa Pope', 'Flamboyant Ltd', 'Fairdeal Park', 'Tiger Packaging', 'Mzuri Sweets 3', 'Sun N Sand Beach Resort', 'Sw ati', 'Investment', 'Kikamabala Catholic', 'Kikambala Posta', 'Saafi Sana', 'Barani', 'Timboni', 'Kwa', 'Kariuki', 'Rembo Apts', 'Bodoi', 'Bodi Pri', 'Salwa Ltd', 'Flamboyant & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KILIFI,"JIRORE, KAKONENI, BARICHO",Tuesday  16.09.2025,9.00 A.M. – 5.00 P.M.,"['Jilore', 'Kakoneni', 'Pishi Mwenge', 'Kakoneni Sec', 'Mongotini', 'Kakoneni Dispensary', 'Baricho', 'Water & adjacent customers.']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,KILIFI,"MKAPUNI, KOMBENI",Wednesday  17.09.2025,9.00 A.M. – 5.00 P.M.,"['Mwele Centre', 'PVC Africa', 'Salima Gases', 'Kombeni Girls', 'Mkapuni', 'Mwawesa', 'Rabai', 'Mining', 'Changombe', 'Chiveriy Pri', 'Makobeni', 'Mwanjama', 'Kasidi & adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01K4VYBGKXTQYTJGFYF94Q95YT.pdf
,NAIROBI,PART OF NAIVASHA ROAD,Tuesday 15.07.2025,9.00 A.M. – 5.00 P.M.,"['Part of Naivasha Rd', 'Gathodeki', 'Naivasha Rd', 'Flats', 'St. John Catholic Church', 'Ngina Rd', 'Precious Blood Riruta Sch', 'Kawangware Timber Yard', 'Kawangware', 'KBS', 'Kawangware 46', 'Kawangware CDF', 'Kawangware DC’s & DO’s Offices', 'Kawangware Law Courts', 'Kawangware Shel l & Lukan Petrol Stn', 'Ndurarua Pri Sch', 'Part of Kinyanjui Rd', 'Kawamgware Mkt', 'KWFT Kawangware', 'Part of Kawangware', 'Est', 'Ndwaru Rd', 'Part of Kikuyu Rd', 'Kwa Nganga Flats', 'Sam West', 'Kikuyu Rd', 'Swamp', 'Nembu Pri & Sec', 'Part of Waithaka S/Centre', 'Mukarara', 'Mithonge', 'Maono', 'Est', 'Kagondo', 'Kiuru', 'Muhuri Rd & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NAIROBI,PART OF KAREN,Wednesday 16.07.2025,9.00 A.M. – 5.00 P.M.,"['Seminary Rd', 'Seminary Drive', 'CUEA', 'Bogani East Rd', 'Part of Magadi Rd', 'Park', 'Palace', 'Multimedia', 'KWS', 'Mukoma Rd', 'Ndorobo Rd', 'Giraffe Center', 'Brookhouse', 'Banda School', 'Banda Lane', 'Saifee Park & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,MAKUENI,"EMALI, NZIU, SULTAN",Wednesday 16.07.2025,9.00 A.M. – 5.00 P.M.,"['Mulala', 'Kithumani', 'Masokani', 'Kikumini', 'Masumba', 'Welfare', 'Matiliku', 'Kilili', 'Kalamba', 'Katulye', 'Upendo', 'Nziu & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KERICHO,"KIPKELION, FORTTERNAN",Tuesday 15.07.2025,8.00 A.M. - 4.30 P.M.,"['Kipkelion Town', 'Barsiele', 'Blue Hills', 'Tunnel', 'Fortternan', 'Murao', 'Toroton', 'Cherara', 'Kutung', 'Chepkechei Sec', 'Liloch', 'Kasheen', 'Kaptenet', 'Kipkeremwo  & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,UASIN GISHU,"BURNT FOREST, KITINGIA",Thursday 17.07.2025,9.00 A.M. – 5.00 P.M.,"['Kitingia', 'Cherus', 'Ndungulu', 'Kaptega', 'Kapsundei', 'Sengalo', 'Chereber', 'Kapchorwa', 'Ndanai', 'Ngarua', 'Kondoo', 'Kapkeno', 'Languse', 'Kaptega Cheboror & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NANDI,"KAPSABET TOWN, NAMGOI",Monday 14.07.2025,9.00 A.M. – 5.00 P.M.,"['Kapsabet Town', 'Namgoi  & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NANDI,"CHEBARBAR, CHEPTERIT",Tuesday 15.07.2025,9.00 A.M. – 5.00 P.M.,"['Chebarbar', 'Chepterit & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NANDI,KAPNYERIA,Wednesday 16.07.2025,9.00 A.M. – 5.00 P.M.,['Kapnyeria & adjacent customers.'],01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NANDI,BELEKENYA,Thursday 17.07.2025,9.00 A.M. – 5.00 P.M.,['Belekenya & adjacent customers.'],01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NANDI,NDAPTABWA,Friday 18.07.2025,9.00 A.M. – 5.00 P.M.,['Ndapdabwa & adjacent customers.'],01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KISUMU,SONDU M ARKET,Sunday 13.07.2025,9.00 A.M. – 3.00 P.M.,"['Nyakachi Girls Sch', 'Sondu Town', 'Sigoti', 'Gari', 'Nyabondo  Hospital & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KISUMU,OMBEYI,Sunday 13.07.2025,10.00 A.M. – 3.00 P.M.,"['Mayfair Bakery', 'Osambe Pri', 'Kukoyo Pri', 'Okere Water Supply', 'Ombeyi  Mkt', 'Keyo', 'Village & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KISUMU,KATITO,Thursday 17.07.2025,9.00 A.M. – 3.00 P.M.,"['Kashelach', 'Kimbimbir & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KISUMU,MILIMANI,Thursday 17.07.2025,9.00 A.M. – 3.00 P.M.,"['Mega City', 'Sewage Oxidation', 'Gater Automation', 'Lions Total Energies & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KISUMU,MUHORONI,Thursday: 17.07.2025,9.00 A.M. – 2.00 P.M.,"['Agrochemical Industry', 'Muhoroni', 'Homaline Mkt', 'Awasi', 'Tamu', 'Chemili & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,SIAYA,SIAYA,Sunday 13.07.2025,10.00 A.M. – 11.30 A.M.,"['Siaya', 'Rangala Bondo Nyamninia', 'Yala', 'Maseno', 'Ndori', 'Ruambwa', 'Ugunja', 'Ukwala', 'Rarieda & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,SIAYA,"APATE, SIDUNDO",Tuesday 15.07.2025,9.00 A.M. – 5.00 P.M.,"['Apate Mkt', 'Hawinga Girls', 'Sidundo Mkt', 'Hawinga Mkt & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,SIAYA,"RABONGO, UMALA MARKET",Thursday 17.07.2025,9.00 A.M. – 5.00 P.M.,"['Rabango Mkt', 'Mur Malanga Dairy', 'Umala Mkt', 'Ulafu School & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,BUSIA,BUSIA,Sunday 13.07.2025,10.00 A.M. – 11.30 A.M.,"['Malaba', 'Mundika', 'Busia Town', 'Butula', 'Nambale', 'Sioport & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KAKAMEGA,MUMIAS,Sunday 13.07.2025,10.00 A.M. – 11.30 A.M.,"['Mumias Town', 'Mumias Sugar Factory', 'Buka Academy', 'Shianda', 'Ekero', 'Butere', 'Bukura', 'Muluanda', 'Khwisero & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,KISII,"PART OF KISII TOWN, EGESA",Monday 14.07.2025,9.00 A.M. - 5.00 P.M.,"['Kona Mbaya', 'Bochura', 'Jeokovilla', 'Egesa', 'Keyaba', 'Daraja Mbili Sec', 'Daraja Mbili', 'ATC', 'Kiongongi', 'Kianyabinge', 'St. Jude', 'Migingo & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,HOMABAY,PARTS OF NDHIWA,Wednesday 16.07.2025,9.00 A.M. – 5.00 P.M.,"['Ndhiwa', 'Ojode Pala', 'Rakoro', 'Gaena', 'Arcon', 'Ojode Unga', 'Pala Koguta', 'Agudo', 'Ototo', 'Kalamindi Oridi', 'Rapedhi', 'Nguku', 'Ligodho', 'Thuon Gweno', 'Amoyo', 'Riat', 'Otange & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,HOMABAY,WHOLE OF MFANGANO ISLAND,Wednesday 16.07.2025,9.00 A.M. – 5.00 P.M.,"['Wasamo', 'Uozi', 'Ugina', 'Mauta', 'Kitenyi', 'Siambi', 'Sena', 'Ramba', 'Kakimba', 'Yokia &', 'adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,HOMABAY,PARTS OF OYUGIS,Wednesday 16.07.2025,9.00 A.M. – 5.00 P.M.,"['Zuri Place', 'Kauko Pri Sch', 'Ouru Mkt', 'Mathenge Mkt', 'God Ber Sec Sch', 'Deputy', 'Governor’s Homestead', 'Nyangiela Mkt', 'Kuoyo Mkt', 'Kamuga Safaricom Booster &', 'Pri Sch', 'Nyagowa Mkt', 'Ragwe Mkt', 'God Kwach Mkt', 'Magungu Mkt', 'Got Nyalgosi', 'Mkt', 'Dol Kodera Mkt', 'Ombek Centr e & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,HOMABAY,"PARTS OF HOMABAY TOWN, OLARE, KADEL",Friday 18.07.2025,9.00 A.M. – 5.00 P.M.,"['Staridge Hotel', 'Ambose Hotel', 'Dalawa Hotel', 'Tourist Hotel', 'Shauriyako Est', 'Makongeni Est', 'Got Rabour', 'Rangwena', 'Nyalkinyi', 'Got Koketch', 'God Bondo', 'Kuoyo Kochia', 'Olare', 'Nyangweso', 'Kadel', 'Kandiege', 'Homa Hills & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,MIGORI,SORI,T uesday  15.07 .2025,9.00 A.M. – 5.00 P.M.,"['Whole of Sori Town', 'Alendo Village & Sec Sch', 'Aora Chuodho', 'St. Camelus Hosp', 'Center', 'God Oloo', 'Sidika Village', 'Sori Malimali', 'Sori Beaches', 'Parts of Kiabuya &', 'adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,MIGORI,"NYAKWERI, WATH ONG’ER",Thursday 17.07.2025,9.00 A.M. – 5.00 P.M.,"['Nyakweri Centre', 'Nyakwere Rice Millers', 'Wath Ong’er Centre', 'Wangelongo Mkt', 'Lwanda Magwar Center', 'Ndhiwa Gilrs & Sec', 'Diruma  Dispensary', 'Agenga Village', '& adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under Rule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NYERI,"KARATINA TOWN, KARINDUNDU",Sunday 13.07.2025,8.00 A.M.  – 5.00 P.M.,"['Karatina Girls Sec Sch', 'Karatina Police Station', 'Karatina Sub County Hosp', 'Jamii', 'Hosp', 'Blue Spring Hosp', 'Magunas S/Mkt', 'Mumlock', 'Mathai S/Mkt', 'Karindundu Est', 'Muthua Est', 'Rafina', 'Matharu', 'Ragati Pri Sch', 'Salama Miller', 'Ibis Hotel', 'Starbucks', 'Hotel', 'Mathira Daily', 'Super Loaf', 'New Karatina Mkt', 'Lucky Villa', 'Eng. Maina Village', 'Mawasco', 'Karindundu PCEA Church', 'Kirigu Catholic Church', 'Safaricom Boosters', 'Airtel Boosters & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NYERI,"JUAKALI, NGORU",Tuesday 15.07.2025,9.00 A.M.  – 5.00 P.M.,"['Ihwa', 'Ngoru', 'Juakali', '24', 'Miagayu -Ini', 'Zaina & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NYERI,"KANJURI, GITIMA -INI",Wednesday 16.07.2025,9.00 A.M.  – 5.00 P.M.,"['Kanjuri High Sch', 'Kanjuri Dispensary', 'Kanjuri Mkt', 'Giagathege TBC', 'Giagathege', 'Village', 'Kinganga Village', 'Kiunjugi TBC', 'Kariambi TBC', 'Gitima -Ini Mkt', 'Kihari', 'Village', 'Gitima -Ini Dispensary', 'Safaricom Boosters', 'Airtel Boosters & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NYERI,"KARUNDAS, MARAGIMA",Wednesday 16.07.2025,8.00 A.M.  – 5.00 P.M.,"['Karundas Sec Sch', 'Karundas', 'Kids Alive', 'Maragima  Sec Sch', 'Maragima Chief’s', 'Camp & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NYERI,"MILIMANI, KARICHENI",Thursday 17.07.2025,8.00 A.M.  – 5.00 P.M.,"['Milimani Pri Sch', 'Milimani Est', 'Chaka Mastore', 'Kirinyaga Construction', 'Roben', 'Aberdare Crusher', 'Kieni Technical', 'Lusoi Resort & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NYERI,"KIRICHU, NDURUTU",Friday 18.07.2025,9.00 A.M.  – 5.00 P.M.,"['Kirichu', 'Kang’ong’a', 'Wangi Water Project', 'Rosa Academy', 'Ndurutu', 'Kanuna &', 'adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,NYERI,"KIANDU, KAIGURI",Friday 18.07.2025,8.00 A.M.  – 5.00 P.M.,"['Kiandu Mkt & Schs', 'Kariko', 'Kiandu', 'Nduiga', 'Gura', 'Kaiguri', 'Gondo', 'Safaricom', 'Booster', 'Gachatha C/Fact & Mkt', 'Kwa Joseph', 'Kariguini', 'Thandii & adjacent', 'customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
,MERU,"KAAGA, KITHOKA, NKOUNE",Sunday 13.07.2025,8.00 A.M.  – 5.00 P.M.,"['Silver Spread', 'Magunas', 'KPLC Offices', 'MIBS', 'Revenue Office Meru County', 'Equity', 'Bank', 'Mt. Kenya Garage Total Petrol Stn', 'Mafuko Bakery', 'Nkoune', 'Mwiriene  Pri', 'Meru Teachers College', 'Mwithumwilu Sec Sch', 'Kaaga Girls High Sch', 'Mpakone', 'Village', 'Whole of Kaaga', 'Safaricom Kaaga', 'LR Petrol Stn', 'Gatimene Gardens', 'Runogone', 'KEMU University', 'Tuliza FM', 'Gakurine', 'Kiandiu', 'Chungu', 'Kwiriro Mkt', 'Runongone Airtel', 'Kaith e Mkt', 'Kithoka', 'Freds Academy', 'Thiiri Cultural Centre', 'Bishop Lawi Imathiu Pri & Sec', 'Kithoka Ripples  & adjacent customers.']",01JZSGZRY4HZHA1Q9WRDV8ZT0F.pdf
